year,n,name,annio,periodo,mes,parametro
20220301,1653,Cataluna,2022,Trimestre 1,3,Sustracciones de vehículos
20220301,1022,Cataluna,2022,Trimestre 1,3,Tráfico de drogas
20191201,177,Comunidad Valenciana,2019,Trimestre 4,12,Agresión sexual con penetración
20191201,40,Comunidad Valenciana,2019,Trimestre 4,12,Homicidios dolosos y asesinatos consumados
20191201,68122,Comunidad Valenciana,2019,Trimestre 4,12,Hurtos
20191201,19832,Comunidad Valenciana,2019,Trimestre 4,12,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20191201,495,Comunidad Valenciana,2019,Trimestre 4,12,Robos con violencia e intimidación
20191201,4,Comunidad Valenciana,2019,Trimestre 4,12,Secuestro
20191201,319,Comunidad Valenciana,2019,Trimestre 4,12,Sustracciones de vehículos
20191201,1979,Comunidad Valenciana,2019,Trimestre 4,12,Tráfico de drogas
20200301,40,Comunidad Valenciana,2020,Trimestre 1,3,Agresión sexual con penetración
20200301,10,Comunidad Valenciana,2020,Trimestre 1,3,Homicidios dolosos y asesinatos consumados
20200301,12676,Comunidad Valenciana,2020,Trimestre 1,3,Hurtos
20200301,4563,Comunidad Valenciana,2020,Trimestre 1,3,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20200301,1018,Comunidad Valenciana,2020,Trimestre 1,3,Robos con violencia e intimidación
20200301,4,Comunidad Valenciana,2020,Trimestre 1,3,Secuestro
20200301,619,Comunidad Valenciana,2020,Trimestre 1,3,Sustracciones de vehículos
20200301,456,Comunidad Valenciana,2020,Trimestre 1,3,Tráfico de drogas
20200601,76,Comunidad Valenciana,2020,Trimestre 2,6,Agresión sexual con penetración
20200601,16,Comunidad Valenciana,2020,Trimestre 2,6,Homicidios dolosos y asesinatos consumados
20200601,17606,Comunidad Valenciana,2020,Trimestre 2,6,Hurtos
20200601,6737,Comunidad Valenciana,2020,Trimestre 2,6,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20200601,149,Comunidad Valenciana,2020,Trimestre 2,6,Robos con violencia e intimidación
20200601,9,Comunidad Valenciana,2020,Trimestre 2,6,Secuestro
