year;n;name;tipo
1-Mar-21;430;Comunidad Valenciana;Tráfico de drogas 
1-Jun-21;93;Comunidad Valenciana;Agresión sexual con penetración 
1-Jun-21;16;Comunidad Valenciana;Homicidios dolosos y asesinatos consumados 
1-Jun-21;23868;Comunidad Valenciana;Hurtos 
1-Jun-21;7174;Comunidad Valenciana;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Jun-21;1909;Comunidad Valenciana;Robos con violencia e intimidación 
1-Jun-21;3;Comunidad Valenciana;Secuestro 
1-Jun-21;1122;Comunidad Valenciana;Sustracciones de vehículos 
1-Jun-21;961;Comunidad Valenciana;Tráfico de drogas 
1-Sep-21;170;Comunidad Valenciana;Agresión sexual con penetración 
1-Sep-21;22;Comunidad Valenciana;Homicidios dolosos y asesinatos consumados 
1-Sep-21;42044;Comunidad Valenciana;Hurtos 
1-Sep-21;1149;Comunidad Valenciana;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Sep-21;3204;Comunidad Valenciana;Robos con violencia e intimidación 
1-Sep-21;4;Comunidad Valenciana;Secuestro 
1-Sep-21;1838;Comunidad Valenciana;Sustracciones de vehículos 
1-Sep-21;1497;Comunidad Valenciana;Tráfico de drogas 
1-Dec-21;236;Comunidad Valenciana;Agresión sexual con penetración 
1-Dec-21;35;Comunidad Valenciana;Homicidios dolosos y asesinatos consumados 
1-Dec-21;57738;Comunidad Valenciana;Hurtos 
1-Dec-21;1592;Comunidad Valenciana;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Dec-21;4578;Comunidad Valenciana;Robos con violencia e intimidación 
1-Dec-21;7;Comunidad Valenciana;Secuestro 
1-Dec-21;2491;Comunidad Valenciana;Sustracciones de vehículos 
1-Dec-21;1983;Comunidad Valenciana;Tráfico de drogas 
1-Mar-22;69;Comunidad Valenciana;Agresión sexual con penetración 
1-Mar-22;14;Comunidad Valenciana;Homicidios dolosos y asesinatos consumados 
1-Mar-22;15585;Comunidad Valenciana;Hurtos 
1-Mar-22;4379;Comunidad Valenciana;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Mar-22;1366;Comunidad Valenciana;Robos con violencia e intimidación 
1-Mar-22;1;Comunidad Valenciana;Secuestro 
1-Mar-22;726;Comunidad Valenciana;Sustracciones de vehículos 
1-Mar-22;419;Comunidad Valenciana;Tráfico de drogas 
1-Dec-19;243;Madrid;Agresión sexual con penetración 
1-Dec-19;32;Madrid;Homicidios dolosos y asesinatos consumados 
1-Dec-19;154169;Madrid;Hurtos 
1-Dec-19;18239;Madrid;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Dec-19;15372;Madrid;Robos con violencia e intimidación 
1-Dec-19;16;Madrid;Secuestro 
1-Dec-19;803;Madrid;Sustracciones de vehículos 
1-Dec-19;2577;Madrid;Tráfico de drogas 
1-Mar-20;58;Madrid;Agresión sexual con penetración 
1-Mar-20;12;Madrid;Homicidios dolosos y asesinatos consumados 
1-Mar-20;34364;Madrid;Hurtos 
1-Mar-20;4188;Madrid;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Mar-20;3371;Madrid;Robos con violencia e intimidación 
1-Mar-20;2;Madrid;Secuestro 
1-Mar-20;1781;Madrid;Sustracciones de vehículos 
1-Mar-20;626;Madrid;Tráfico de drogas 
1-Jun-20;101;Madrid;Agresión sexual con penetración 
1-Jun-20;19;Madrid;Homicidios dolosos y asesinatos consumados 
1-Jun-20;44596;Madrid;Hurtos 
1-Jun-20;5764;Madrid;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Jun-20;4675;Madrid;Robos con violencia e intimidación 
1-Jun-20;3;Madrid;Secuestro 
1-Jun-20;2763;Madrid;Sustracciones de vehículos 
1-Jun-20;1199;Madrid;Tráfico de drogas 
1-Sep-20;170;Madrid;Agresión sexual con penetración 
1-Sep-20;29;Madrid;Homicidios dolosos y asesinatos consumados 
1-Sep-20;67722;Madrid;Hurtos 
